data,perc_story,ospedalizzati_story,terapie_story,deceduti_story,primadose_story,secondadose_story,terzadose_story,quartadose_story
01/09/2020,1.49,233.0,21.0,2.0,0.0,0.0,0.0,0.0
02/09/2020,1.39,242.0,22.0,2.0,0.0,0.0,0.0,0.0
03/09/2020,1.62,252.0,27.0,1.0,0.0,0.0,0.0,0.0
04/09/2020,1.23,270.0,26.0,6.0,0.0,0.0,0.0,0.0
05/09/2020,1.66,268.0,23.0,1.0,0.0,0.0,0.0,0.0
06/09/2020,1.63,273.0,25.0,3.0,0.0,0.0,0.0,0.0
07/09/2020,1.2,268.0,26.0,6.0,0.0,0.0,0.0,0.0
08/09/2020,1.3,275.0,27.0,2.0,0.0,0.0,0.0,0.0
09/09/2020,1.02,279.0,27.0,3.0,0.0,0.0,0.0,0.0
10/09/2020,1.41,286.0,30.0,1.0,0.0,0.0,0.0,0.0
11/09/2020,1.43,273.0,27.0,4.0,0.0,0.0,0.0,0.0
12/09/2020,1.63,278.0,27.0,0.0,0.0,0.0,0.0,0.0
13/09/2020,2.06,280.0,28.0,3.0,0.0,0.0,0.0,0.0
14/09/2020,1.58,290.0,28.0,2.0,0.0,0.0,0.0,0.0
15/09/2020,0.91,292.0,29.0,2.0,0.0,0.0,0.0,0.0
16/09/2020,0.89,294.0,30.0,2.0,0.0,0.0,0.0,0.0
17/09/2020,1.29,304.0,32.0,1.0,0.0,0.0,0.0,0.0
18/09/2020,1.33,316.0,32.0,2.0,0.0,0.0,0.0,0.0
19/09/2020,1.12,307.0,36.0,9.0,0.0,0.0,0.0,0.0
20/09/2020,1.41,302.0,38.0,5.0,0.0,0.0,0.0,0.0
21/09/2020,0.9,319.0,36.0,1.0,0.0,0.0,0.0,0.0
22/09/2020,1.23,328.0,34.0,2.0,0.0,0.0,0.0,0.0
23/09/2020,0.86,341.0,33.0,0.0,0.0,0.0,0.0,0.0
24/09/2020,1.07,334.0,31.0,10.0,0.0,0.0,0.0,0.0
25/09/2020,1.36,330.0,30.0,2.0,0.0,0.0,0.0,0.0
26/09/2020,1.34,342.0,30.0,4.0,0.0,0.0,0.0,0.0
27/09/2020,1.3,333.0,31.0,5.0,0.0,0.0,0.0,0.0
28/09/2020,1.5,337.0,31.0,2.0,0.0,0.0,0.0,0.0
29/09/2020,1.47,348.0,33.0,3.0,0.0,0.0,0.0,0.0
30/09/2020,1.07,340.0,34.0,4.0,0.0,0.0,0.0,0.0
01/10/2020,1.31,333.0,35.0,5.0,0.0,0.0,0.0,0.0
02/10/2020,1.55,341.0,39.0,4.0,0.0,0.0,0.0,0.0
03/10/2020,2.08,335.0,42.0,5.0,0.0,0.0,0.0,0.0
04/10/2020,2.12,335.0,39.0,2.0,0.0,0.0,0.0,0.0
05/10/2020,3.11,346.0,41.0,2.0,0.0,0.0,0.0,0.0
06/10/2020,2.18,360.0,40.0,0.0,0.0,0.0,0.0,0.0
07/10/2020,2.41,379.0,40.0,5.0,0.0,0.0,0.0,0.0
08/10/2020,3.09,402.0,41.0,1.0,0.0,0.0,0.0,0.0
09/10/2020,3.84,415.0,44.0,1.0,0.0,0.0,0.0,0.0
10/10/2020,4.98,452.0,44.0,2.0,0.0,0.0,0.0,0.0
11/10/2020,6.62,481.0,48.0,3.0,0.0,0.0,0.0,0.0
12/10/2020,4.99,513.0,50.0,3.0,0.0,0.0,0.0,0.0
13/10/2020,6.28,608.0,62.0,6.0,0.0,0.0,0.0,0.0
14/10/2020,6.35,709.0,64.0,17.0,0.0,0.0,0.0,0.0
15/10/2020,6.36,798.0,72.0,26.0,0.0,0.0,0.0,0.0
